,Player,Salary,Year
304,Troy Daniels,2487033,2019
305,Brandon Clarke,2478840,2019
306,Terrance Ferguson,2475840,2019
307,Grayson Allen,2429400,2019
308,Alfonzo McKinnie,2391985,2019
309,Grant Williams,2379840,2019
310,Jarrett Allen,2376840,2019
311,Pascal Siakam,2351838,2019
312,Skal Labissiere,2338846,2019
313,Chandler Hutchison,2332320,2019
314,Dejounte Murray,2321735,2019
315,Isaiah Thomas,2320044,2019
316,Alec Burks,2320044,2019
317,Damian Jones,2305057,2019
318,Darius Bazley,2284800,2019
319,OG Anunoby,2281800,2019
320,Ante Zizic,2281800,2019
321,Luke Kornet,2250000,2019
322,Monta Ellis,2245400,2019
323,Aaron Holiday,2239200,2019
324,Ty Jerome,2193480,2019
325,Willie Cauley-Stein,2177483,2019
326,Kyle O'Quinn,2174318,2019
327,Austin Rivers,2174310,2019
328,Carmelo Anthony,2159029,2019
329,Anfernee Simons,2149560,2019
330,Matt Barnes,2133542,2019
331,Nassir Little,2105520,2019
332,Moritz Wagner,2063520,2019
333,Dylan Windler,2035800,2019
334,Caleb Swanigan,2033160,2019
335,Ben McLemore,2028594,2019
336,Mike Muscala,2028594,2019
337,Michael Carter-Williams,2028594,2019
338,Trey Burke,2028594,2019
339,Spencer Hawes,2007058,2019
340,Edmond Sumner,2000000,2019
341,Torrey Craig,2000000,2019
342,Noah Vonleh,2000000,2019
343,Landry Shamet,1995120,2019
344,Mfiondu Kabengele,1977000,2019
345,Kyle Kuzma,1974600,2019
346,Jordan Poole,1964760,2019
347,Tony Bradley,1962360,2019
348,Keldon Johnson,1950600,2019
349,Derrick White,1948080,2019
350,Robert Williams,1937520,2019
351,Josh Hart,1934160,2019
352,Jacob Evans,1925880,2019
353,Anderson Varejao,1913345,2019
354,Dzanan Musa,1911600,2019
355,Omari Spellman,1897800,2019
356,James Ennis,1882867,2019
357,Nerlens Noel,1882867,2019
358,Glenn Robinson III,1882867,2019
359,Dragan Bender,1868554,2019
360,Larry Sanders,1865546,2019
361,Bruno Caboclo,1845301,2019
362,Shabazz Napier,1845301,2019
363,Jonah Bolden,1788296,2019
364,Mario Hezonja,1737145,2019
365,JaKarr Sampson,1737145,2019
366,Raul Neto,1737145,2019
367,Emmanuel Mudiay,1737145,2019
368,Pat Connaughton,1723050,2019
369,Jahlil Okafor,1702486,2019
370,Rodions Kurucs,1699236,2019
371,David Nwaba,1678854,2019
372,Cheick Diallo,1678854,2019
373,Willy Hernangomez,1676735,2019
374,Georges Niang,1645357,2019
375,Treveon Graham,1645357,2019
376,Christian Wood,1645357,2019
377,Derrick Jones,1645357,2019
378,Furkan Korkmaz,1620564,2019
379,Shaquille Harrison,1620564,2019
380,Justin Patton,1620564,2019
381,Tim Frazier,1620564,2019
382,Jordan Bell,1620564,2019
383,Dillon Brooks,1618520,2019
384,Royce O'Neale,1618520,2019
385,Abdel Nader,1618520,2019
386,Semi Ojeleye,1618520,2019
387,Dwayne Bacon,1618520,2019
388,Sterling Brown,1618520,2019
389,Frank Jackson,1618520,2019
390,Damyean Dotson,1618520,2019
391,Wesley Iwundu,1618520,2019
392,Jabari Bird,1588231,2019
393,Monte Morris,1588231,2019
394,Chris Boucher,1588231,2019
395,Malcolm Miller,1588231,2019
396,Mitchell Robinson,1559712,2019
397,Amile Jefferson,1529007,2019
398,Derrick Walton,1527375,2019
399,Isaiah Roby,1500000,2019
400,Nigel Williams-Goss,1500000,2019
401,Antonio Blakeney,1488231,2019
402,JR Smith,1456667,2019
403,Thanasis Antetokounmpo,1445697,2019
404,Shake Milton,1445697,2019
405,Brad Wanamaker,1445697,2019
406,Theo Pinson,1445697,2019
407,Wenyen Gabriel,1445697,2019
408,Gary Clark,1427191,2019
409,Khyri Thomas,1416852,2019
410,Isaiah Hartenstein,1416852,2019
411,Deonte Burton,1416852,2019
412,Elie Okobo,1416852,2019
413,Gary Trent Jr,1416852,2019
414,Isaac Bonga,1416852,2019
415,Devonte Graham,1416852,2019
416,Ryan Broekhoff,1416852,2019
417,Jalen Brunson,1416852,2019
418,Keita Bates-Diop,1416852,2019
419,Bruce Brown,1416852,2019
420,Sviatoslav Mykhailiuk,1416852,2019
421,Alize Johnson,1416852,2019
422,De'Anthony Melton,1416852,2019
423,Kendrick Nunn,1416852,2019
424,Duncan Robinson,1416852,2019
425,Jarred Vanderbilt,1416852,2019
426,Kenrich Williams,1416852,2019
427,Hamidou Diallo,1416852,2019
428,Melvin Frazier,1416852,2019
429,Jevon Carter,1416852,2019
430,Chimezie Metu,1416852,2019
431,Marquese Chriss,1413273,2019
432,Bruno Fernando,1400000,2019
433,Jaylen Nowell,1400000,2019
434,Kevin Porter,1290960,2019
435,Jordan McRae,1254933,2019
436,Carsen Edwards,1228026,2019
437,Cody Martin,1173310,2019
438,Gary Payton II,1052909,2019
