,Pick,Player,College,Year
0,1,Larry Johnson,UNLV,1991
1,2,Kenny Anderson,Georgia Tech,1991
2,3,Billy Owens,Syracuse,1991
3,4,Dikembe Mutombo,Georgetown,1991
4,5,Steve Smith,Michigan State,1991
5,6,Doug Smith,Missouri,1991
6,7,Luc Longley,New Mexico,1991
7,8,Mark Macon,Temple,1991
8,9,Stacey Augmon,UNLV,1991
9,10,Bison Dele,Arizona,1991
10,11,Terrell Brandon,Oregon,1991
11,12,Greg Anthony,UNLV,1991
12,13,Dale Davis,Clemson,1991
13,14,Rich King,Nebraska,1991
14,15,Anthony Avent,Seton Hall,1991
15,16,Chris Gatling,Old Dominion,1991
16,17,Victor Alexander,Iowa State,1991
17,18,Kevin Brooks,LA-Lafayette,1991
18,19,LaBradford Smith,Louisville,1991
19,20,John Turner,Phillips University,1991
20,21,Eric Murdock,Providence,1991
21,22,LeRon Ellis,Syracuse,1991
22,23,Stanley Roberts,LSU,1991
23,24,Rick Fox,UNC,1991
24,25,Shaun Vandiver,Colorado,1991
25,26,Mark Randall,Kansas,1991
26,27,Pete Chilcutt,UNC,1991
27,28,Kevin Lynch,Minnesota,1991
28,29,George Ackles,UNLV,1991
29,30,Rodney Monroe,NC State,1991
30,31,Randy Brown,New Mexico State,1991
31,32,Chad Gallagher,Creighton,1991
32,33,Donald Hodge,Temple,1991
33,34,Myron Brown,Slippery Rock University of Pennsylvania,1991
34,35,Mike Iuzzolino,Saint Francis University,1991
35,36,Chris Corchiani,NC State,1991
36,37,Elliot Perry,Memphis,1991
37,38,Joe Wylie,Miami (FL),1991
38,39,Jimmy Oliver,Purdue,1991
39,40,Doug Overton,La Salle,1991
40,41,Sean Green,Iona College,1991
41,42,Steve Hood,James Madison University,1991
42,43,Lamont Strothers,Christopher Newport University,1991
43,44,Alvaro Teheran,Houston,1991
44,45,Bobby Phills,Southern University and A&M College,1991
45,46,Richard Dumas,Oklahoma State,1991
46,47,Keith Hughes,Rutgers University,1991
47,48,Isaac Austin,Arizona State,1991
48,49,Greg Sutton,Oral Roberts,1991
49,50,Joey Wright,Texas,1991
50,51,Žan Tabak,,1991
51,52,Anthony Jones,Oral Roberts,1991
52,53,Von McDade,UW-Milwaukee,1991
53,54,Marcus Kennedy,Eastern Michigan,1991
0,1,Shaquille O'Neal,LSU,1992
1,2,Alonzo Mourning,Georgetown,1992
2,3,Christian Laettner,Duke,1992
3,4,Jim Jackson,Ohio State,1992
4,5,LaPhonso Ellis,Notre Dame,1992
5,6,Tom Gugliotta,NC State,1992
6,7,Walt Williams,Maryland,1992
7,8,Todd Day,Arkansas,1992
8,9,Clarence Weatherspoon,University of Southern Mississippi,1992
9,10,Adam Keefe,Stanford,1992
10,11,Robert Horry,Alabama,1992
11,12,Harold Miner,USC,1992
12,13,Bryant Stith,Virginia,1992
13,14,Malik Sealy,St. John's,1992
14,15,Anthony Peeler,Missouri,1992
15,16,Randy Woods,La Salle,1992
16,17,Doug Christie,Pepperdine,1992
17,18,Tracy Murray,UCLA,1992
18,19,Don MacLean,UCLA,1992
19,20,Hubert Davis,UNC,1992
20,21,Jon Barry,Georgia Tech,1992
21,22,Oliver Miller,Arkansas,1992
22,23,Lee Mayberry,Arkansas,1992
23,24,Latrell Sprewell,Alabama,1992
24,25,Elmore Spencer,UNLV,1992
25,26,Dave Johnson,Syracuse,1992
26,27,Byron Houston,Oklahoma State,1992
27,28,Marlon Maxey,Texas-El Paso,1992
28,29,P.J. Brown,Louisiana Tech,1992
29,30,Sean Rooks,Arizona,1992
30,31,Reggie Smith,TCU,1992
31,32,Brent Price,Oklahoma,1992
32,33,Corey Williams,Oklahoma State,1992
33,34,Chris Smith,UConn,1992
34,35,Tony Bennett,Green Bay,1992
35,36,Duane Cooper,USC,1992
36,37,Isaiah Morris,Arkansas,1992
37,38,Elmer Bennett,Notre Dame,1992
38,39,Litterial Green,Georgia,1992
39,40,Steve Rogers,Alabama State University,1992
40,41,Popeye Jones,Murray State,1992
41,42,Matt Geiger,Georgia Tech,1992
42,43,Sasha Danilović,,1992
43,44,Henry Williams,UNC Charlotte,1992
44,45,Chris King,Wake Forest,1992
45,46,Robert Werdann,St. John's,1992
46,47,Darren Morningstar,Pitt,1992
47,48,Brian Davis,Duke,1992
48,49,Ron Ellis,Louisiana Tech,1992
49,50,Matt Fish,UNC Wilmington,1992
50,51,Tim Burroughs,Jacksonville University,1992
51,52,Matt Steigenga,Michigan State,1992
52,53,Curtis Blair,Richmond,1992
53,54,Brett Roberts,Morehead State University,1992
0,1,Chris Webber,Michigan,1993
1,2,Shawn Bradley,BYU,1993
2,3,Anfernee Hardaway,Memphis,1993
3,4,Jamal Mashburn,Kentucky,1993
4,5,Isaiah Rider,UNLV,1993
5,6,Calbert Cheaney,Indiana,1993
6,7,Bobby Hurley,Duke,1993
7,8,Vin Baker,University of Hartford,1993
8,9,Rodney Rogers,Wake Forest,1993
9,10,Lindsey Hunter,Jackson State University,1993
10,11,Allan Houston,Tennessee,1993
11,12,George Lynch,UNC,1993
12,13,Terry Dehere,Seton Hall,1993
13,14,Scott Haskin,Oregon State,1993
14,15,Doug Edwards,Florida State,1993
15,16,Rex Walters,Kansas,1993
16,17,Greg Graham,Indiana,1993
17,18,Luther Wright,Seton Hall,1993
18,19,Acie Earl,Iowa,1993
19,20,Scott Burrell,UConn,1993
20,21,James Robinson,Alabama,1993
21,22,Chris Mills,Arizona,1993
22,23,Ervin Johnson,New Orleans,1993
23,24,Sam Cassell,Florida State,1993
24,25,Corie Blount,Cincinnati,1993
25,26,Geert Hammink,LSU,1993
26,27,Malcolm Mackey,Georgia Tech,1993
27,28,Lucious Harris,Cal State Long Beach,1993
28,29,Sherron Mills,Virginia Commonwealth,1993
29,30,Gheorghe Mureșan,,1993
30,31,Evers Burns,Maryland,1993
31,32,Alphonso Ford,Mississippi Valley State University,1993
32,33,Eric Riley,Michigan,1993
33,34,Darnell Mee,Western Kentucky,1993
34,35,Ed Stokes,Arizona,1993
35,36,John Best,Tennessee Technological University,1993
36,37,Nick Van Exel,Cincinnati,1993
37,38,Conrad McRae,Syracuse,1993
38,39,Thomas Hill,Duke,1993
39,40,Rich Manning,Washington,1993
40,41,Anthony Reed,Tulane,1993
41,42,Adonis Jordan,Kansas,1993
42,43,Josh Grant,Utah,1993
43,44,Alex Holcombe,Baylor,1993
44,45,Bryon Russell,Cal State Long Beach,1993
45,46,Richard Petruška,UCLA,1993
46,47,Chris Whitney,Clemson,1993
47,48,Kevin Thompson,NC State,1993
48,49,Mark Buford,Mississippi Valley State University,1993
49,50,Marcelo Nicola,,1993
50,51,Spencer Dunkley,University of Delaware,1993
51,52,Mike Peplowski,Michigan State,1993
52,53,Leonard White,Southern University and A&M College,1993
53,54,Byron Wilson,Utah,1993
0,1,Glenn Robinson,Purdue,1994
1,2,Jason Kidd,California,1994
2,3,Grant Hill,Duke,1994
3,4,Donyell Marshall,UConn,1994
4,5,Juwan Howard,Michigan,1994
5,6,Sharone Wright,Clemson,1994
6,7,Lamond Murray,California,1994
7,8,Brian Grant,Xavier,1994
8,9,Eric Montross,UNC,1994
9,10,Eddie Jones,Temple,1994
10,11,Carlos Rogers,Tennessee State,1994
11,12,Khalid Reeves,Arizona,1994
12,13,Jalen Rose,Michigan,1994
13,14,Yinka Dare,George Washington,1994
14,15,Eric Piatkowski,Nebraska,1994
15,16,Clifford Rozier,Louisville,1994
16,17,Aaron McKie,Temple,1994
17,18,Eric Mobley,Pitt,1994
18,19,Tony Dumas,Missouri-Kansas City,1994
19,20,B.J. Tyler,Texas,1994
20,21,Dickey Simpkins,Providence,1994
21,22,Bill Curley,Boston College,1994
22,23,Wesley Person,Auburn,1994
23,24,Monty Williams,Notre Dame,1994
24,25,Greg Minor,Louisville,1994
25,26,Charlie Ward,Florida State,1994
26,27,Brooks Thompson,Oklahoma State,1994
27,28,Deon Thomas,Illinois,1994
28,29,Antonio Lang,Duke,1994
29,30,Howard Eisley,Boston College,1994
30,31,Rodney Dent,Kentucky,1994
31,32,Jim McIlvaine,Marquette,1994
32,33,Derrick Alston,Duquesne,1994
33,34,Gaylon Nickerson,Northwestern Oklahoma State University,1994
34,35,Michael Smith,Providence,1994
35,36,Andrei Fetisov,,1994
36,37,Dontonio Wingfield,Cincinnati,1994
37,38,Darrin Hancock,Kansas,1994
38,39,Anthony Miller,Michigan State,1994
39,40,Jeff Webster,Oklahoma,1994
40,41,William Njoku,,1994
41,42,Gary Collier,Tulsa,1994
42,43,Shawnelle Scott,St. John's,1994
43,44,Damon Bailey,Indiana,1994
44,45,Dwayne Morton,Louisville,1994
45,46,Voshon Lenard,Minnesota,1994
46,47,Jamie Watson,South Carolina,1994
47,48,Jevon Crudup,Missouri,1994
48,49,Kris Bruton,Benedict College,1994
49,50,Charles Claxton,Georgia,1994
50,51,Lawrence Funderburke,Ohio State,1994
51,52,Anthony Goldwire,Houston,1994
52,53,Albert Burditt,Texas,1994
53,54,Željko Rebrača,,1994
0,1,Joe Smith,Maryland,1995
1,2,Antonio McDyess,Alabama,1995
2,3,Jerry Stackhouse,UNC,1995
3,4,Rasheed Wallace,UNC,1995
4,5,Kevin Garnett,,1995
5,6,Bryant Reeves,Oklahoma State,1995
6,7,Damon Stoudamire,Arizona,1995
7,8,Shawn Respert,Michigan State,1995
8,9,Ed O'Bannon,UCLA,1995
9,10,Kurt Thomas,TCU,1995
10,11,Gary Trent,Ohio University,1995
11,12,Cherokee Parks,Duke,1995
12,13,Corliss Williamson,Arkansas,1995
13,14,Eric Williams,Providence,1995
14,15,Brent Barry,Oregon State,1995
15,16,Alan Henderson,Indiana,1995
16,17,Bob Sura,Florida State,1995
17,18,Theo Ratliff,Wyoming,1995
18,19,Randolph Childress,Wake Forest,1995
19,20,Jason Caffey,Alabama,1995
20,21,Michael Finley,Wisconsin,1995
21,22,George Zídek,UCLA,1995
22,23,Travis Best,Georgia Tech,1995
23,24,Loren Meyer,Iowa State,1995
24,25,David Vaughn,Memphis,1995
25,26,Sherell Ford,University of Illinois at Chicago,1995
26,27,Mario Bennett,Arizona State,1995
27,28,Greg Ostertag,Kansas,1995
28,29,Cory Alexander,Virginia,1995
29,30,Lou Roe,UMass,1995
30,31,Dragan Tarlać,,1995
31,32,Terrence Rencher,Texas,1995
32,33,Junior Burrough,Virginia,1995
33,34,Andrew DeClercq,Florida,1995
34,35,Jimmy King,Michigan,1995
35,36,Lawrence Moten,Syracuse,1995
36,37,Frankie King,Western Carolina University,1995
37,38,Rashard Griffith,Wisconsin,1995
38,39,Donny Marshall,UConn,1995
39,40,Dwayne Whitfield,Jackson State University,1995
40,41,Erik Meek,Duke,1995
41,42,Donnie Boyce,Colorado,1995
42,43,Eric Snow,Michigan State,1995
43,44,Anthony Pelle,Fresno State,1995
44,45,Troy Brown,Providence,1995
45,46,George Banks,Texas-El Paso,1995
46,47,Tyus Edney,UCLA,1995
47,48,Mark Davis,Texas Tech,1995
48,49,Jerome Allen,Penn,1995
49,50,Martin Lewis,Seward County Community College,1995
50,51,Dejan Bodiroga,,1995
51,52,Fred Hoiberg,Iowa State,1995
52,53,Constantin Popa,Miami (FL),1995
53,54,Aurelijius Zukauskas,,1995
54,55,Michael McDonald,New Orleans,1995
55,56,Chris Carr,Southern Illinois,1995
56,57,Cuonzo Martin,Purdue,1995
57,58,Don Reid,Georgetown,1995
0,1,Allen Iverson,Georgetown,1996
1,2,Marcus Camby,UMass,1996
2,3,Shareef Abdur-Rahim,California,1996
3,4,Stephon Marbury,Georgia Tech,1996
4,5,Ray Allen,UConn,1996
5,6,Antoine Walker,Kentucky,1996
6,7,Lorenzen Wright,Memphis,1996
7,8,Kerry Kittles,Villanova,1996
8,9,Samaki Walker,Louisville,1996
9,10,Erick Dampier,Mississippi State,1996
10,11,Todd Fuller,NC State,1996
11,12,Vitaly Potapenko,Wright State University,1996
12,13,Kobe Bryant,,1996
13,14,Peja Stojaković,,1996
14,15,Steve Nash,Santa Clara,1996
15,16,Tony Delk,Kentucky,1996
16,17,Jermaine O'Neal,,1996
17,18,John Wallace,Syracuse,1996
18,19,Walter McCarty,Kentucky,1996
19,20,Zydrunas Ilgauskas,,1996
20,21,Dontae' Jones,Mississippi State,1996
21,22,Roy Rogers,Alabama,1996
22,23,Efthimi Rentzias,,1996
23,24,Derek Fisher,Little Rock,1996
24,25,Martin Müürsepp,,1996
25,26,Jerome Williams,Georgetown,1996
26,27,Brian Evans,Indiana,1996
27,28,Priest Lauderdale,Central State University,1996
28,29,Travis Knight,UConn,1996
29,30,Othella Harrington,Georgetown,1996
30,31,Mark Hendrickson,Washington State,1996
31,32,Ryan Minor,Oklahoma,1996
32,33,Moochie Norris,University of West Florida,1996
33,34,Shawn Harvey,West Virginia State University,1996
34,35,Joseph Blair,Arizona,1996
35,36,Doron Sheffer,UConn,1996
36,37,Jeff McInnis,UNC,1996
37,38,Steve Hamer,Tennessee,1996
38,39,Russ Millard,Iowa,1996
39,40,Marcus Mann,Mississippi Valley State University,1996
40,41,Jason Sasser,Texas Tech,1996
41,42,Randy Livingston,LSU,1996
42,43,Ben Davis,Arizona,1996
43,44,Malik Rose,Drexel,1996
44,45,Joe Vogel,Colorado State,1996
45,46,Marcus Brown,Murray State,1996
46,47,Ron Riley,Arizona State,1996
47,48,Jamie Feick,Michigan State,1996
48,49,Amal McCaskill,Marquette,1996
49,50,Terrell Bell,Georgia,1996
50,51,Chris Robinson,Western Kentucky,1996
51,52,Mark Pope,Kentucky,1996
52,53,Jeff Nordgaard,Green Bay,1996
53,54,Shandon Anderson,Georgia,1996
54,55,Ronnie Henderson,LSU,1996
55,56,Reggie Geary,Arizona,1996
56,57,Drew Barry,Georgia Tech,1996
57,58,Darnell Robinson,Arkansas,1996
0,1,Tim Duncan,Wake Forest,1997
1,2,Keith Van Horn,Utah,1997
2,3,Chauncey Billups,Colorado,1997
3,4,Antonio Daniels,Bowling Green,1997
4,5,Tony Battie,Texas Tech,1997
5,6,Ron Mercer,Kentucky,1997
6,7,Tim Thomas,Villanova,1997
7,8,Adonal Foyle,Colgate,1997
8,9,Tracy McGrady,,1997
9,10,Danny Fortson,Cincinnati,1997
10,11,Tariq Abdul-Wahad,San Jose State,1997
11,12,Austin Croshere,Providence,1997
12,13,Derek Anderson,Kentucky,1997
13,14,Maurice Taylor,Michigan,1997
14,15,Kelvin Cato,Iowa State,1997
15,16,Brevin Knight,Stanford,1997
16,17,Johnny Taylor,Chattanooga,1997
17,18,Chris Anstey,,1997
18,19,Scot Pollard,Kansas,1997
19,20,Paul Grant,Wisconsin,1997
20,21,Anthony Parker,Bradley,1997
21,22,Ed Gray,California,1997
22,23,Bobby Jackson,Minnesota,1997
23,24,Rodrick Rhodes,USC,1997
